Expedition,Latitude,Longitude,Depth,NO3,d15N
GOSHIP P16S,-64.9995,-150,4208.4,32.3,4.5
GOSHIP P16S,-64.9995,-150,4097.6,32.3,4.9
GOSHIP P16S,-64.9995,-150,3964.2,32.3,4.9
GOSHIP P16S,-64.9995,-150,3728.8,32.3,4.8
GOSHIP P16S,-64.9995,-150,3472.4,32.2,4.8
GOSHIP P16S,-64.9995,-150,3218.1,32.2,4.7
GOSHIP P16S,-64.9995,-150,2962.6,32.2,4.7
GOSHIP P16S,-64.9995,-150,2707.8,32.4,4.7
GOSHIP P16S,-64.9995,-150,2453.5,32.5,4.9
GOSHIP P16S,-64.9995,-150,2199.1,32.4,4.8
GOSHIP P16S,-64.9995,-150,1996.2,32.4,4.8
GOSHIP P16S,-64.9995,-150,1792.8,32.3,4.7
GOSHIP P16S,-64.9995,-150,1590.2,32.3,4.7
GOSHIP P16S,-64.9995,-150,1387.7,32.4,4.8
GOSHIP P16S,-64.9995,-150,1185.3,32.3,4.7
GOSHIP P16S,-64.9995,-150,982.5,32.3,4.7
GOSHIP P16S,-64.9995,-150,881.3,32.2,4.8
GOSHIP P16S,-64.9995,-150,780.6,32.5,4.6
GOSHIP P16S,-64.9995,-150,679.5,32.5,4.5
GOSHIP P16S,-64.9995,-150,578.2,32.7,4.4
GOSHIP P16S,-64.9995,-150,492.9,32.7,4.3
GOSHIP P16S,-64.9995,-150,392,32.9,4.4
GOSHIP P16S,-64.9995,-150,341.6,32.9,4.4
GOSHIP P16S,-64.9995,-150,286.2,33.1,4.5
GOSHIP P16S,-64.9995,-150,230.9,33.2,4.5
GOSHIP P16S,-64.9995,-150,185.2,33.3,4.4
GOSHIP P16S,-64.9995,-150,160.2,32.7,4.6
GOSHIP P16S,-64.9995,-150,134.9,30.6,4.9
GOSHIP P16S,-64.9995,-150,99.8,27.1,5.2
GOSHIP P16S,-64.9995,-150,85.1,26.8,5.3
GOSHIP P16S,-64.9995,-150,39.5,24.9,5.8
GOSHIP P16S,-64.9995,-150,6.6,25,5.9
GOSHIP P16S,-61.9998,-150.038,3484.9,31.9,4.7
GOSHIP P16S,-61.9998,-150.038,3380.6,31.9,4.9
GOSHIP P16S,-61.9998,-150.038,3227,31.9,4.8
GOSHIP P16S,-61.9998,-150.038,2962.1,31.9,4.7
GOSHIP P16S,-61.9998,-150.038,2707.2,31.9,4.9
GOSHIP P16S,-61.9998,-150.038,2453.2,32,4.8
GOSHIP P16S,-61.9998,-150.038,2199.1,32,4.9
GOSHIP P16S,-61.9998,-150.038,1793,31.9,4.9
GOSHIP P16S,-61.9998,-150.038,1589.8,32,5
GOSHIP P16S,-61.9998,-150.038,1387.4,32,4.8
